,p1,p2,beta
3533,177148,100441,1
3534,177148,117699,1
3535,177148,132450,1
3536,177148,133723,1
3537,177269,3203,1
3538,177269,13860,1
3539,177269,54436,1
3540,177269,88839,1
3541,177269,125691,1
3542,177269,157612,1
3543,177269,158057,1
3544,177269,162373,1
3545,177406,56546,1
3546,177406,63506,1
3547,177406,104436,1
3548,177406,117888,1
3549,177406,143411,1
3550,177411,27592,1
3551,177411,29415,1
3552,177411,29586,1
3553,177411,42466,1
3554,177411,67341,1
3555,177411,88731,1
3556,177411,130616,1
3557,177411,173849,1
3558,177450,22729,1
3559,177450,41756,1
3560,177450,87979,1
3561,177450,105967,1
3562,177450,124160,1
3563,177450,127570,1
3564,177479,14859,1
3565,177479,24131,1
3566,177479,78239,1
3567,177479,85245,1
3568,177479,94269,1
3569,177479,117982,1
3570,177479,124213,1
3571,177479,168188,1
3572,177878,6721,1
3573,177878,89561,1
3574,177878,90827,1
3575,177878,101737,1
3576,177965,26507,1
3577,177965,28809,1
3578,177965,30547,1
3579,177965,31895,1
3580,177965,115860,1
3581,177965,116710,1
3582,177965,118844,1
3583,177965,130047,1
3584,178019,23063,1
3585,178019,27855,1
3586,178019,28847,1
3587,178019,31533,1
3588,178019,55849,1
3589,178019,63884,1
3590,178019,80588,1
3591,178019,113285,1
3592,178019,130047,1
3593,178019,164440,1
3594,178073,64861,1
3595,178073,123208,1
3596,178073,131095,1
3597,178252,1728,1
3598,178252,29247,1
3599,178252,92512,1
3600,178252,109109,1
3601,178252,121630,1
3602,178252,136161,1
3603,178252,162373,1
3604,178403,31453,1
3605,178403,34564,1
3606,178403,39574,1
3607,178403,49800,1
3608,178403,76854,1
3609,178403,103351,1
3610,178403,142309,1
3611,178403,169202,1
3612,178670,8138,1
3613,178670,14632,1
3614,178670,88903,1
3615,178670,89004,1
3616,178670,102927,1
3617,178670,108581,1
3618,178670,151133,1
3619,178670,158984,1
3620,178680,19598,1
3621,178680,21532,1
3622,178680,44723,1
3623,178680,76746,1
3624,178680,113779,1
3625,178680,139577,1
3626,178717,9377,1
3627,178717,11314,1
3628,178717,44615,1
3629,178717,86464,1
3630,178717,123778,1
3631,178717,136161,1
3632,178717,146306,1
3633,178799,42466,1
3634,178799,64671,1
3635,178799,67341,1
3636,178799,88731,1
3637,178799,120942,1
3638,178799,173849,1
3639,178799,177411,1
3640,178835,6393,1
3641,178835,24105,1
3642,178835,35450,1
3643,178835,65954,1
3644,178835,69498,1
3645,178835,91479,1
3646,178835,101908,1
3647,178835,125117,1
3648,179191,21190,1
3649,179191,21326,1
3650,179191,35793,1
3651,179191,58444,1
3652,179191,72068,1
3653,179191,72505,1
3654,179198,16397,1
3655,179198,18322,1
3656,179198,51833,1
3657,179198,54907,1
3658,179198,95369,1
3659,179198,110473,1
3660,179198,140313,1
3661,179198,155341,1
3662,179198,160237,1
3663,179360,16127,1
3664,179360,24761,1
3665,179360,33471,1
3666,179360,35825,1
3667,179360,46181,1
3668,179360,81499,1
3669,179360,88090,1
3670,179360,136059,1
3671,179360,153578,1
3672,179450,6940,1
3673,179450,20530,1
3674,179450,20856,1
3675,179450,58677,1
3676,179450,88870,1
3677,179450,91532,1
3678,179682,4557,1
3679,179682,23698,1
3680,179682,96520,1
3681,179682,123208,1
3682,179682,151423,1
3683,179682,164366,1
3684,179726,24881,1
3685,179726,42807,1
3686,179726,128252,1
3687,179726,142495,1
3688,179726,143486,1
3689,179796,14859,1
3690,179796,26966,1
3691,179796,85245,1
3692,179796,94269,1
3693,179796,141027,1
3694,179860,17258,1
3695,179860,26507,1
3696,179860,71048,1
3697,179860,80588,1
3698,179860,87595,1
3699,179860,96721,1
3700,179860,108619,1
3701,179860,126524,1
3702,179860,127301,1
3703,179924,42549,1
3704,179924,42839,1
3705,179924,50159,1
3706,179924,57020,1
3707,179924,58677,1
3708,179924,108307,1
3709,179924,131566,1
3710,179924,142804,1
3711,179924,169290,1
3712,180140,1159,1
3713,180140,42555,1
3714,180140,45709,1
3715,180140,83804,1
3716,180140,83965,1
3717,180140,121622,1
3718,180140,136907,1
3719,180184,9172,1
3720,180184,17162,1
3721,180184,62824,1
3722,180184,68377,1
3723,180184,104628,1
3724,180184,125497,1
3725,180250,20495,1
3726,180250,79968,1
3727,180250,85147,1
3728,180250,117644,1
3729,180250,168188,1
3730,180250,169423,1
3731,180931,61588,1
3732,180931,97392,1
3733,180931,111908,1
3734,180931,126268,1
3735,180952,8372,1
3736,180952,51833,1
3737,180952,62902,1
3738,180952,70478,1
3739,180952,78236,1
3740,180952,124443,1
3741,180952,130129,1
3742,181015,6142,1
3743,181015,46778,1
3744,181015,82281,1
3745,181015,98360,1
3746,181015,98471,1
3747,181015,99471,1
3748,181015,100233,1
3749,181015,124777,1
3750,181015,156920,1
3751,181299,33821,1
3752,181299,47605,1
3753,181299,65885,1
3754,181299,94132,1
3755,181299,106038,1
3756,181299,114950,1
3757,181299,139348,1
3758,181398,9704,1
3759,181398,57183,1
3760,181398,101815,1
3761,181398,113811,1
3762,181398,134716,1
3763,181398,172254,1
3764,181401,7558,1
3765,181401,73504,1
3766,181401,88766,1
3767,181401,134924,1
3768,181401,180952,1
3769,181509,1060,1
3770,181509,53908,1
3771,181509,86345,1
3772,181509,146031,1
3773,181509,168194,1
3774,181509,172369,1
3775,181509,175756,1
3776,181539,50436,1
3777,181628,14014,1
3778,181628,47567,1
3779,181628,105364,1
3780,181628,125551,1
3781,181628,133535,1
3782,181628,135401,1
3783,181628,169038,1
3784,181770,45329,1
3785,181770,63647,1
3786,181770,78632,1
3787,181770,101526,1
3788,181770,108619,1
3789,181770,132733,1
3790,181804,1728,1
3791,181804,27592,1
3792,181804,29247,1
3793,181804,53412,1
3794,181804,55163,1
3795,181804,88839,1
3796,181804,145657,1
3797,181804,150286,1
3798,181804,178252,1
3799,181808,26966,1
3800,181808,28614,1
3801,181808,47866,1
3802,181808,55719,1
3803,181808,57682,1
3804,181808,109828,1
3805,181808,117644,1
3806,181808,117982,1
3807,181808,127575,1
3808,181808,149985,1
3809,181808,174480,1
3810,181881,8138,1
3811,181881,34564,1
3812,181881,49120,1
3813,181881,49800,1
3814,181881,62577,1
3815,181881,76854,1
3816,181881,90953,1
3817,181881,95851,1
3818,181881,142309,1
3819,181881,160323,1
3820,182138,17258,1
3821,182138,29362,1
3822,182138,80588,1
3823,182138,96721,1
3824,182138,112144,1
3825,182375,8332,1
3826,182375,95267,1
3827,182375,107137,1
3828,182375,116094,1
3829,182375,140427,1
3830,182515,67341,1
3831,182515,78632,1
3832,182515,120942,1
3833,182515,128118,1
3834,182515,165722,1
3835,182515,173849,1
3836,182515,178799,1
3837,182562,22854,1
3838,182562,24389,1
3839,182562,67438,1
3840,182562,82251,1
3841,182562,87498,1
3842,182562,132450,1
3843,182562,136584,1
3844,182562,170505,1
3845,182574,6721,1
3846,182574,8700,1
3847,182574,9601,1
3848,182574,19221,1
3849,182574,59351,1
3850,182574,112054,1
3851,182574,128715,1
3852,182574,138328,1
3853,182574,146536,1
3854,183275,53379,1
3855,183275,58677,1
3856,183275,76314,1
3857,183275,102018,1
3858,183275,117606,1
3859,183275,120377,1
3860,183275,165722,1
3861,183275,169078,1
3862,183323,13860,1
3863,183323,42839,1
3864,183323,67438,1
3865,183323,86735,1
3866,183323,91532,1
3867,183323,121804,1
3868,183506,37073,1
3869,183506,56622,1
3870,183506,60661,1
3871,183506,61083,1
3872,183506,139999,1
3873,183506,142425,1
3874,183506,145998,1
3875,183506,151999,1
3876,183506,181539,1
3877,183508,13465,1
3878,183508,72774,1
3879,183508,139894,1
3880,183556,10777,1
3881,183556,24389,1
3882,183556,50451,1
3883,183556,69993,1
3884,183556,153351,1
3885,183556,158237,1
3886,183740,36623,1
3887,183740,58288,1
3888,183740,88870,1
3889,183740,126918,1
3890,183740,133723,1
3891,183740,169889,1
3892,183817,570,1
3893,183817,4595,1
3894,183817,14632,1
3895,183817,81159,1
3896,183817,88903,1
3897,183817,89004,1
3898,183817,108581,1
3899,183817,161433,1
3900,183817,170382,1
3901,183817,178670,1
3902,183956,14871,1
3903,183956,16090,1
3904,183956,27711,1
3905,183956,28252,1
3906,183956,42549,1
3907,183956,42807,1
3908,183956,95165,1
3909,183956,138802,1
3910,183956,146598,1
3911,184127,30966,1
3912,184127,50201,1
3913,184127,120317,1
3914,184127,152296,1
3915,184127,153374,1
3916,184127,171911,1
3917,184127,176789,1
3918,184270,210,1
3919,184270,8422,1
3920,184270,124443,1
3921,184270,140313,1
3922,184270,142350,1
3923,184270,180952,1
3924,185068,53297,1
3925,185068,55163,1
3926,185068,93464,1
3927,185068,96881,1
3928,185068,116580,1
3929,185068,162370,1
3930,185068,178252,1
3931,185382,31508,1
3932,185382,41013,1
3933,185382,76314,1
3934,185382,129971,1
3935,185382,135715,1
3936,185382,142847,1
3937,185487,41974,1
3938,185487,46047,1
3939,185487,102098,1
3940,185487,142875,1
3941,185487,169087,1
3942,185882,31508,1
3943,185882,41013,1
3944,185882,60768,1
3945,185882,135715,1
3946,185882,146598,1
3947,185882,169019,1
3948,186470,6721,1
3949,186470,89561,1
3950,186470,90827,1
3951,186470,101737,1
3952,186470,121619,1
3953,186470,169262,1
3954,186470,177878,1
3955,186735,12753,1
3956,186735,28732,1
3957,186735,97101,1
3958,186735,115895,1
3959,186735,130689,1
3960,186735,145331,1
3961,186735,169007,1
3962,186812,6818,1
3963,186812,15960,1
3964,186812,45776,1
3965,186812,46551,1
3966,186812,129424,1
3967,186812,152192,1
3968,186812,165056,1
3969,186917,8107,1
3970,186917,69430,1
3971,186917,77153,1
3972,186917,96371,1
3973,186917,101278,1
3974,186917,141923,1
3975,186917,160022,1
3976,187039,27004,1
3977,187039,32930,1
3978,187039,42123,1
3979,187039,48982,1
3980,187039,83245,1
3981,187039,89988,1
3982,187039,93488,1
3983,187039,113436,1
3984,187039,115995,1
3985,187041,5241,1
3986,187041,36057,1
3987,187041,56151,1
3988,187041,78822,1
3989,187041,117587,1
3990,187041,132414,1
3991,187041,137872,1
3992,187041,158093,1
3993,187072,16127,1
3994,187072,35825,1
3995,187072,81499,1
3996,187072,86480,1
3997,187072,104257,1
3998,187072,153578,1
3999,187262,15851,1
4000,187262,78632,1
4001,187262,100455,1
4002,187262,121630,1
4003,187262,130266,1
4004,187262,160660,1
4005,187446,93,1
4006,187446,4381,1
4007,187446,5656,1
4008,187446,36441,1
4009,187446,38217,1
4010,187446,79207,1
4011,187446,117972,1
4012,187446,138290,1
4013,187611,42608,1
4014,187611,48009,1
4015,187611,62824,1
4016,187611,92477,1
4017,187611,104628,1
4018,187611,133535,1
4019,187611,156084,1
4020,187611,172213,1
4021,187611,180184,1
4022,187611,181628,1
4023,187735,18461,1
4024,187735,26262,1
4025,187735,35119,1
4026,187735,35952,1
4027,187735,79629,1
4028,187735,119989,1
4029,187735,124536,1
4030,187735,131095,1
4031,187735,151927,1
4032,187735,177878,1
4033,187894,7565,1
4034,187894,19871,1
4035,187894,24169,1
4036,187894,60768,1
4037,187894,83266,1
4038,187894,87074,1
4039,187894,91949,1
4040,187920,20856,1
4041,187920,24893,1
4042,187920,69993,1
4043,187920,84365,1
4044,187921,2666,1
4045,187921,17632,1
4046,187921,24421,1
4047,187921,86735,1
4048,187921,108852,1
4049,187921,121804,1
4050,188207,30547,1
4051,188207,61495,1
4052,188207,113779,1
4053,188207,136584,1
4054,188207,145703,1
4055,188207,159468,1
4056,188207,160735,1
4057,188207,169530,1
4058,188355,25916,1
4059,188355,33701,1
4060,188355,33821,1
4061,188355,40638,1
4062,188355,53174,1
4063,188355,106038,1
4064,188355,114950,1
4065,188355,181299,1
4066,188466,4048,1
4067,188466,5758,1
4068,188466,22910,1
4069,188466,47260,1
4070,188466,70046,1
4071,188466,84399,1
4072,188466,88186,1
4073,188466,106836,1
4074,188466,139287,1
4075,188466,153875,1
4076,188466,167512,1
4077,188668,40615,1
4078,188668,63805,1
4079,188668,88098,1
4080,188668,155341,1
4081,188747,11325,1
4082,188747,22910,1
4083,188747,98360,1
4084,188747,106836,1
4085,188747,131313,1
4086,188876,23698,1
4087,188876,26262,1
4088,188876,96520,1
4089,188876,111451,1
4090,188876,151423,1
4091,188876,151927,1
4092,188876,161379,1
4093,188876,179682,1
4094,189154,24421,1
4095,189154,56810,1
4096,189154,60768,1
4097,189154,86735,1
4098,189154,101774,1
4099,189154,187921,1
4100,189311,1010,1
4101,189311,27592,1
4102,189311,29247,1
4103,189311,31895,1
4104,189311,109109,1
4105,189311,121630,1
4106,189311,128252,1
4107,189311,138734,1
4108,189311,178252,1
4109,189311,179450,1
4110,189337,18509,1
4111,189337,31951,1
4112,189337,57183,1
4113,189337,107380,1
4114,189337,126621,1
4115,189337,134716,1
4116,189337,181398,1
4117,189431,13067,1
4118,189431,21532,1
4119,189431,58288,1
4120,189431,88870,1
4121,189431,95297,1
4122,189431,182138,1
4123,189431,183740,1
4124,189666,20856,1
4125,189666,24943,1
4126,189666,69993,1
4127,189666,76746,1
4128,189666,119324,1
4129,189679,24168,1
4130,189679,61588,1
4131,189679,92462,1
4132,189679,97392,1
4133,189679,111908,1
4134,189679,180931,1
4135,189679,186735,1
4136,190684,23248,1
4137,190684,26714,1
4138,190684,76367,1
4139,190684,84399,1
4140,190684,88186,1
4141,190684,106252,1
4142,190684,188747,1
4143,190684,189679,1
4144,191181,703,1
4145,191181,37339,1
4146,191181,69809,1
4147,191181,70826,1
4148,191181,82396,1
4149,191181,115232,1
4150,191181,139579,1
4151,191181,153725,1
4152,191181,162005,1
4153,191181,173549,1
4154,191289,14441,1
4155,191289,32588,1
4156,191289,44301,1
4157,191289,73292,1
4158,191289,115895,1
4159,191289,145031,1
4160,191289,180931,1
4161,192025,141,1
4162,192025,24168,1
4163,192025,49161,1
4164,192025,61588,1
4165,192025,97392,1
4166,192025,130689,1
4167,192025,172393,1
4168,192025,174767,1
4169,192025,189679,1
4170,192153,14441,1
4171,192153,32588,1
4172,192153,73292,1
4173,192153,88347,1
4174,192153,104105,1
4175,192153,126268,1
4176,192153,145031,1
4177,192244,9037,1
4178,192244,12905,1
4179,192244,27855,1
4180,192244,30547,1
4181,192244,61213,1
4182,192244,91949,1
4183,192244,160735,1
4184,192244,164440,1
4185,192323,3203,1
4186,192323,54436,1
4187,192323,63506,1
4188,192323,158057,1
4189,192323,159624,1
4190,192323,177269,1
4191,192323,177406,1
4192,192492,47605,1
4193,192492,80736,1
4194,192492,103597,1
4195,192492,106038,1
4196,192492,137286,1
4197,192492,147970,1
4198,192506,16130,1
4199,192506,45988,1
4200,192506,94132,1
4201,192506,100351,1
4202,192506,109677,1
4203,192666,8138,1
4204,192666,35119,1
4205,192666,46181,1
4206,192666,78600,1
4207,192666,81159,1
4208,192666,88903,1
4209,192666,108581,1
4210,192666,178670,1
4211,192818,57687,1
4212,192818,66342,1
4213,192818,82954,1
4214,192818,103593,1
4215,192818,133199,1
4216,192974,19598,1
4217,192974,46202,1
4218,192974,89405,1
4219,192974,90336,1
4220,192974,99985,1
4221,192974,106972,1
4222,192974,157144,1
4223,192974,172259,1
4224,193171,8963,1
4225,193171,35952,1
4226,193171,69772,1
4227,193171,85288,1
4228,193171,86480,1
4229,193171,135345,1
4230,193171,136059,1
4231,193171,167995,1
4232,193286,1159,1
4233,193286,45709,1
4234,193286,70046,1
4235,193286,83804,1
4236,193286,83965,1
4237,193286,180140,1
4238,193603,35471,1
4239,193603,36737,1
4240,193603,47054,1
4241,193603,101481,1
4242,193603,110752,1
4243,193603,123573,1
4244,193961,3987,1
4245,193961,29415,1
4246,193961,52262,1
4247,193961,75757,1
4248,193961,76842,1
4249,193961,143486,1
4250,193961,187262,1
4251,194313,5758,1
4252,194313,14441,1
4253,194313,104105,1
4254,194313,130689,1
4255,194313,131313,1
4256,194313,145031,1
4257,194313,192153,1
4258,194410,61083,1
4259,194410,63945,1
4260,194410,74556,1
4261,194410,75677,1
4262,194410,84638,1
4263,194410,96169,1
4264,194410,109051,1
4265,194410,151010,1
4266,194410,154138,1
4267,194410,166795,1
4268,194423,49396,1
4269,194423,85478,1
4270,194423,92961,1
4271,194423,115825,1
4272,194423,140004,1
4273,194423,151133,1
4274,194423,154150,1
4275,194763,22566,1
4276,194763,47023,1
4277,194763,79968,1
4278,194763,85147,1
4279,194763,180250,1
4280,194769,23898,1
4281,194769,49120,1
4282,194769,49800,1
4283,194769,62577,1
4284,194769,81499,1
4285,194769,149698,1
4286,194769,170382,1
4287,194830,38828,1
4288,194830,45957,1
4289,194830,54907,1
4290,194830,70478,1
4291,194830,115916,1
4292,194830,162519,1
4293,195187,3396,1
4294,195187,5241,1
4295,195187,56151,1
4296,195187,78822,1
4297,195187,137872,1
4298,195187,167841,1
4299,195187,187041,1
4300,195234,2515,1
4301,195234,5381,1
4302,195234,17745,1
4303,195234,54400,1
4304,195234,83478,1
4305,195234,116365,1
4306,195234,117151,1
4307,195354,3281,1
4308,195354,38628,1
4309,195354,45329,1
4310,195354,129971,1
4311,195354,132733,1
4312,195354,150919,1
4313,195458,9172,1
4314,195458,31317,1
4315,195458,68377,1
4316,195458,98158,1
4317,195458,117467,1
4318,195458,125497,1
4319,195458,180184,1
4320,195458,187611,1
4321,195478,103309,1
4322,195478,150489,1
4323,195478,183323,1
4324,195593,93,1
4325,195593,4381,1
4326,195593,5656,1
4327,195593,36441,1
4328,195593,38217,1
4329,195593,79207,1
4330,195593,101222,1
4331,195593,117972,1
4332,195593,138290,1
4333,195593,138509,1
4334,195593,168213,1
4335,195593,187446,1
4336,195616,27638,1
4337,195616,31941,1
4338,195616,33156,1
4339,195616,43905,1
4340,195616,58398,1
4341,195616,63778,1
4342,195616,97863,1
4343,195616,119974,1
4344,195616,145372,1
4345,195616,160302,1
4346,195616,165709,1
4347,195616,165948,1
4348,195695,14496,1
4349,195695,23698,1
4350,195695,32606,1
4351,195695,88090,1
4352,195695,95851,1
4353,195695,96520,1
4354,195695,161379,1
4355,195695,164366,1
4356,195695,179682,1
4357,195695,188876,1
4358,195791,22854,1
4359,195791,23063,1
4360,195791,31533,1
4361,195791,39875,1
4362,195791,50451,1
4363,195791,63884,1
4364,195791,113005,1
4365,195791,116580,1
4366,195791,125054,1
4367,195793,23248,1
4368,195793,46778,1
4369,195793,106836,1
4370,195793,190684,1
4371,195923,18554,1
4372,195923,84365,1
4373,195923,93464,1
4374,195923,139059,1
4375,195923,165398,1
4376,195962,2964,1
4377,195962,17745,1
4378,195962,21802,1
4379,195962,46047,1
4380,195962,100797,1
4381,195962,112034,1
4382,195962,153554,1
4383,196517,8963,1
4384,196517,57973,1
4385,196517,69772,1
4386,196517,83509,1
4387,196517,115928,1
4388,196517,128715,1
4389,196517,160323,1
4390,196517,167995,1
4391,196517,177878,1
4392,196747,4337,1
4393,196747,47912,1
4394,196747,55125,1
4395,196747,76746,1
4396,196747,106972,1
4397,196747,166428,1
4398,196747,173975,1
4399,196831,27592,1
4400,196831,92512,1
4401,196831,121630,1
4402,196831,138734,1
4403,196831,178252,1
4404,196870,9704,1
4405,196870,18509,1
4406,196870,40491,1
4407,196870,57183,1
4408,196870,72116,1
4409,196870,101815,1
4410,196870,113811,1
4411,196870,172359,1
4412,196870,181398,1
4413,196870,189337,1
4414,197129,82251,1
4415,197129,87498,1
4416,197129,91462,1
4417,197129,170505,1
4418,197129,175456,1
4419,197129,182562,1
4420,197315,12905,1
4421,197315,27855,1
4422,197315,30547,1
4423,197315,42755,1
4424,197315,42807,1
4425,197315,159468,1
4426,197315,160735,1
4427,197315,169530,1
4428,197315,192244,1
4429,197786,14632,1
4430,197786,32606,1
4431,197786,37044,1
4432,197786,64911,1
4433,197786,131638,1
4434,197832,24854,1
4435,197832,45776,1
4436,197832,46551,1
4437,197832,56336,1
4438,197832,72068,1
4439,197832,98941,1
4440,197832,120982,1
4441,197832,121102,1
4442,197832,129424,1
4443,197832,161060,1
4444,197832,172369,1
4445,198047,70813,1
4446,198047,82323,1
4447,198047,110629,1
4448,198047,147356,1
4449,198047,159624,1
4450,198110,21784,1
4451,198110,25147,1
4452,198110,66342,1
4453,198110,97868,1
4454,198110,133199,1
4455,198110,192818,1
4456,198141,3633,1
4457,198141,37430,1
4458,198141,111908,1
4459,198141,157410,1
4460,198141,164427,1
4461,198141,180931,1
4462,198141,189679,1
4463,198142,30131,1
4464,198142,34434,1
4465,198142,35656,1
4466,198142,46420,1
4467,198142,66357,1
4468,198142,131129,1
4469,198142,168241,1
4470,198439,17368,1
4471,198439,18678,1
4472,198439,29406,1
4473,198439,61083,1
4474,198439,82241,1
4475,198439,101438,1
4476,198439,166795,1
4477,198439,171423,1
4478,198995,19221,1
4479,198995,35793,1
4480,198995,44243,1
4481,198995,46084,1
4482,198995,59351,1
4483,198995,86480,1
4484,198995,91301,1
4485,198995,138328,1
4486,199175,31219,1
4487,199175,35471,1
4488,199175,36737,1
4489,199175,47489,1
4490,199175,61979,1
4491,199175,67430,1
4492,199175,90906,1
4493,199175,110752,1
4494,199175,123573,1
4495,199175,169552,1
4496,199175,193603,1
4497,199336,73504,1
4498,199336,78596,1
4499,199336,88098,1
4500,199336,88766,1
4501,199336,101666,1
4502,199336,115916,1
4503,199336,155341,1
4504,199336,181401,1
4505,199336,188668,1
4506,199529,47803,1
4507,199529,68730,1
4508,199529,117644,1
4509,199529,124213,1
4510,199529,134809,1
4511,199565,92961,1
4512,199565,124536,1
4513,199565,151927,1
4514,199565,154150,1
4515,199565,194423,1
4516,199648,27743,1
4517,199648,28614,1
4518,199648,55719,1
4519,199648,91158,1
4520,199648,103890,1
4521,199648,124978,1
4522,199648,134809,1
4523,199648,169566,1
4524,199648,199529,1
4525,200101,20495,1
4526,200101,27743,1
4527,200101,47803,1
4528,200101,57682,1
4529,200101,117644,1
4530,200101,169423,1
4531,200148,7240,1
4532,200148,94132,1
4533,200148,104879,1
4534,200148,126472,1
4535,200148,176417,1
4536,200148,181299,1
4537,200236,18678,1
4538,200236,67917,1
4539,200236,82241,1
4540,200236,92136,1
4541,200236,100797,1
4542,200236,101438,1
4543,200236,166795,1
4544,200236,198439,1
4545,200707,43021,1
4546,200707,47114,1
4547,200707,75279,1
4548,200707,102076,1
4549,200707,116556,1
4550,200707,126806,1
4551,200707,167416,1
4552,200829,8730,1
4553,200829,28809,1
4554,200829,40560,1
4555,200829,99181,1
4556,200829,115860,1
4557,200829,116710,1
4558,200829,119324,1
4559,200882,23898,1
4560,200882,37044,1
4561,200882,55699,1
4562,200882,64911,1
4563,200882,155508,1
4564,200882,155804,1
4565,200882,175756,1
4566,200888,3396,1
4567,200888,11525,1
4568,200888,62416,1
4569,200888,67409,1
4570,200888,75281,1
4571,200888,80932,1
4572,200888,168034,1
4573,200888,169882,1
4574,200888,176521,1
4575,201227,8332,1
4576,201227,41756,1
4577,201227,95267,1
4578,201227,105967,1
4579,201227,127570,1
4580,201227,140427,1
4581,201227,177450,1
4582,201227,182375,1
4583,201480,18554,1
4584,201480,86464,1
4585,201480,100455,1
4586,201480,110629,1
4587,201480,159624,1
4588,201535,2480,1
4589,201535,8138,1
4590,201535,23898,1
4591,201535,25822,1
4592,201535,58291,1
4593,201535,58311,1
4594,201535,73728,1
4595,201535,114987,1
4596,201535,121965,1
4597,201535,151423,1
4598,201753,1042,1
4599,201753,43709,1
4600,201753,65771,1
4601,201753,104879,1
4602,201753,131465,1
4603,201753,142402,1
4604,201880,29247,1
4605,201880,30084,1
4606,201880,71048,1
4607,201880,93488,1
4608,201880,126524,1
4609,201880,127301,1
4610,201880,137216,1
4611,201962,47023,1
4612,201962,85245,1
4613,201962,94269,1
4614,201962,102355,1
4615,201962,179796,1
4616,201962,199529,1
4617,201995,28122,1
4618,201995,58185,1
4619,201995,93488,1
4620,201995,106209,1
4621,201995,127301,1
4622,201995,137216,1
4623,201995,201880,1
4624,202015,9793,1
4625,202015,42608,1
4626,202015,92477,1
4627,202015,101847,1
4628,202015,146460,1
4629,202015,156084,1
4630,202015,181628,1
4631,202022,14496,1
4632,202022,27928,1
4633,202022,34564,1
4634,202022,39574,1
4635,202022,71466,1
4636,202022,90953,1
4637,202022,95851,1
4638,202022,103351,1
4639,202022,114987,1
4640,202022,169202,1
4641,202022,178403,1
4642,202053,46551,1
4643,202053,77153,1
4644,202053,96520,1
4645,202053,111451,1
4646,202053,141127,1
4647,202053,179682,1
4648,202053,188876,1
4649,202053,195695,1
4650,202053,198995,1
4651,202083,33156,1
4652,202083,58398,1
4653,202083,63778,1
4654,202083,65719,1
4655,202083,87345,1
4656,202083,160302,1
4657,202083,165709,1
4658,202083,165948,1
4659,202322,8700,1
4660,202322,18461,1
4661,202322,40856,1
4662,202322,77153,1
4663,202322,79629,1
4664,202322,92961,1
4665,202322,124536,1
4666,202322,151927,1
4667,202322,154150,1
4668,202322,193171,1
4669,202322,199565,1
4670,202400,3633,1
4671,202400,12753,1
4672,202400,24168,1
4673,202400,37430,1
4674,202400,92462,1
4675,202400,97392,1
4676,202400,111908,1
4677,202400,131313,1
4678,202400,133636,1
4679,202400,164427,1
4680,202400,180931,1
4681,202400,189679,1
4682,202400,198141,1
4683,202481,24421,1
4684,202481,50159,1
4685,202481,53297,1
4686,202481,86735,1
4687,202481,119324,1
4688,202481,119958,1
4689,202481,171784,1
4690,202481,182562,1
4691,202492,32343,1
4692,202492,92961,1
4693,202492,97123,1
4694,202492,114861,1
4695,202492,123208,1
4696,202492,138525,1
4697,202492,140107,1
4698,202492,160022,1
4699,202492,166638,1
4700,202492,178073,1
4701,202738,461,1
4702,202738,31673,1
4703,202738,42608,1
4704,202738,47567,1
4705,202738,133535,1
4706,202738,146460,1
4707,202738,202015,1
4708,202770,12796,1
4709,202770,25474,1
4710,202770,64911,1
4711,202770,71466,1
4712,202770,103351,1
4713,202770,121102,1
4714,202770,137967,1
4715,202770,140107,1
4716,202770,169202,1
4717,202770,202022,1
4718,202803,18554,1
4719,202803,28122,1
4720,202803,40560,1
4721,202803,92828,1
4722,202803,113436,1
4723,202803,124323,1
4724,202803,139059,1
4725,202803,154679,1
4726,202803,195923,1
4727,202805,2139,1
4728,202805,36844,1
4729,202805,44764,1
4730,202805,66826,1
4731,202805,75102,1
4732,202805,132526,1
4733,202805,143521,1
4734,202978,19871,1
4735,202978,28847,1
4736,202978,38628,1
4737,202978,45329,1
4738,202978,121384,1
4739,202978,132733,1
4740,203110,56546,1
4741,203110,90336,1
4742,203110,117606,1
4743,203110,120942,1
4744,203110,165722,1
4745,203110,178799,1
4746,203110,182515,1
4747,203126,17745,1
4748,203126,52297,1
4749,203126,54400,1
4750,203126,83478,1
4751,203126,86622,1
4752,203126,169087,1
4753,203126,175957,1
4754,203126,195234,1
4755,203202,15960,1
4756,203202,23949,1
4757,203202,31453,1
4758,203202,97123,1
4759,203202,141869,1
4760,203202,145252,1
4761,203202,155804,1
4762,203202,164366,1
4763,203202,164479,1
4764,203241,17368,1
4765,203241,23046,1
4766,203241,73662,1
4767,203241,92935,1
4768,203241,106971,1
4769,203241,158093,1
4770,203448,8372,1
4771,203448,38828,1
4772,203448,54907,1
4773,203448,62902,1
4774,203448,78236,1
4775,203448,124443,1
4776,203448,160721,1
4777,203448,180952,1
4778,203448,184270,1
4779,203475,968,1
4780,203475,6940,1
4781,203475,38534,1
4782,203475,78393,1
4783,203475,85322,1
4784,203475,93464,1
4785,203475,104436,1
4786,203475,151095,1
4787,203475,157332,1
4788,203694,16090,1
4789,203694,42807,1
4790,203694,44615,1
4791,203694,138802,1
4792,203694,162281,1
4793,203694,183956,1
4794,203736,68357,1
4795,203736,179450,1
4796,203736,187920,1
4797,203761,2480,1
4798,203761,12114,1
4799,203761,58291,1
4800,203761,58311,1
4801,203761,73728,1
4802,203761,114987,1
4803,203761,121965,1
4804,203761,146338,1
